country,currency,category,retailer,brand,product_name,barcode,barcode_length,price_local,price_usd,presentation,weight_kg,price_per_100g_local,price_per_kg_usd,segment,type,product_url,retailer_url,standard_category,price_local_numeric,barcode_harmonized,regional_sku,regional_overlap,competitive_index,price_positioning
Dominican Republic,DOP,Galletas,Sirena,Hatuey,Galleta De Soda Saltina Hatuey 20 Und,1779801224184,13,152.0,2.41,20 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-saltina-hatuey-20-und/18853,https://sirena.do/products/index/galletas-de-soda-hatuey-saltina-20-unds?utm_source=supermercadosrd,Cookies,152.0,1779801224184,1779801224184,1,,Market
Dominican Republic,DOP,Galletas,Bravo,Hatuey,Galleta De Soda Saltina Hatuey 9 Und,,,99.0,1.57,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-saltina-hatuey-9-und/18635,https://bravova.superbravo.com.do/articulos/10554?utm_source=supermercadosrd,Cookies,99.0,,Hatuey_Galleta De Soda Saltina Hatuey 9 Und,1,,Market
Dominican Republic,DOP,Galletas,Garrido,Hatuey,Galleta De Soda Saltina Hatuey 9 Und,,,95.0,1.51,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-saltina-hatuey-9-und/18635,https://www.garrido.com.do/p/302730?utm_source=supermercadosrd,Cookies,95.0,,Hatuey_Galleta De Soda Saltina Hatuey 9 Und,1,,Market
Dominican Republic,DOP,Galletas,Jumbo,Hatuey,Galleta De Soda Saltina Hatuey 9 Und,,,89.0,1.41,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-saltina-hatuey-9-und/18635,https://jumbo.com.do/galleta-de-soda-saltina-hatuey-9-und-paq-2003661?utm_source=supermercadosrd,Cookies,89.0,,Hatuey_Galleta De Soda Saltina Hatuey 9 Und,1,,Market
Dominican Republic,DOP,Galletas,Merca Jumbo,Hatuey,Galleta De Soda Saltina Hatuey 9 Und,,,88.0,1.39,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-saltina-hatuey-9-und/18635,https://mercajumbo.com.do/?utm_source=supermercadosrd,Cookies,88.0,,Hatuey_Galleta De Soda Saltina Hatuey 9 Und,1,,Market
Dominican Republic,DOP,Galletas,Nacional,Hatuey,Galleta De Soda Saltina Hatuey 9 Und,,,89.95,1.43,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-saltina-hatuey-9-und/18635,https://supermercadosnacional.com/galleta-de-soda-saltina-hatuey-9-und-paq-2003661?utm_source=supermercadosrd,Cookies,89.95,,Hatuey_Galleta De Soda Saltina Hatuey 9 Und,1,,Market
Dominican Republic,DOP,Galletas,Plaza Lama,Hatuey,Galleta De Soda Saltina Hatuey 9 Und,,,99.0,1.57,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-saltina-hatuey-9-und/18635,https://plazalama.com.do/p/galletas-de-soda-saltina-hatuey-9-uds-7467581603854?utm_source=supermercadosrd,Cookies,99.0,,Hatuey_Galleta De Soda Saltina Hatuey 9 Und,1,,Market
Dominican Republic,DOP,Galletas,Ritmo,Hatuey,Galleta De Soda Saltina Hatuey 9 Und,,,85.0,1.35,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-saltina-hatuey-9-und/18635,https://tiendasritmo.com/?utm_source=supermercadosrd,Cookies,85.0,,Hatuey_Galleta De Soda Saltina Hatuey 9 Und,1,,Market
Dominican Republic,DOP,Galletas,Sirena,Hatuey,Galleta De Soda Saltina Hatuey 9 Und,,,89.0,1.41,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-saltina-hatuey-9-und/18635,https://sirena.do/products/index/galletas-de-soda-hatuey-saltinas-12-oz?utm_source=supermercadosrd,Cookies,89.0,,Hatuey_Galleta De Soda Saltina Hatuey 9 Und,1,,Market
Dominican Republic,DOP,Galletas,Sirena,Wala,Galleta De Soda Wala 201,1779801231766,13,148.0,2.35,600 GR,0.6,24.67,3.91,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-wala-201/21587,https://sirena.do/products/index/wala-galleta-de-soda-20-1-600gr?utm_source=supermercadosrd,Cookies,148.0,1779801231766,1779801231766,1,0.4129689898679767,Value
Dominican Republic,DOP,Galletas,Bravo,Dulce,Galleta Dulce Sabor Cookies And Cream Oreo,7702133006647,13,229.0,3.63,15.24 OZ,0.43204638,53.0,8.4,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/galleta-dulce-sabor-cookies-and-cream-oreo/18797,https://bravova.superbravo.com.do/articulos/21593?utm_source=supermercadosrd,Cookies,229.0,7702133006647,7702133006647,1,0.8871968068774947,Market
Dominican Republic,DOP,Galletas,Garrido,Dulce,Galleta Dulce Sabor Cookies And Cream Oreo,7702133006647,13,210.0,3.33,15.24 OZ,0.43204638,48.61,7.7,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/galleta-dulce-sabor-cookies-and-cream-oreo/18797,https://www.garrido.com.do/p/201369?utm_source=supermercadosrd,Cookies,210.0,7702133006647,7702133006647,1,0.8132637396377034,Market
Dominican Republic,DOP,Galletas,Jumbo,Dulce,Galleta Dulce Sabor Cookies And Cream Oreo,7702133006647,13,206.0,3.26,15.24 OZ,0.43204638,47.68,7.56,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/galleta-dulce-sabor-cookies-and-cream-oreo/18797,https://jumbo.com.do/galleta-dulce-sabor-cookies-and-cream-oreo-15-24-onz-2134255?utm_source=supermercadosrd,Cookies,206.0,7702133006647,7702133006647,1,0.7984771261897451,Value
